,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
10,137208,"Calvet, Varietals Merlot",Calvet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,19000,2011,750
11,137209,"Calvet, Reserve Bordeaux white",Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Etc,,,,,,,,,,White,Table,11.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,28000,2011,750
12,137210,"Calvet, Premieres Cotes de Bordeaux",Calvet,France,Bordeaux,Premieres Cotes de Bordeaux,,,Semillon,Sauvignon blanc,Muscadet,,,,,,,,,,White,Dessert,13,10~12,SWEET2,ACIDITY4,BODY3,TANNIN1,18000,2009,750
13,137211,"Calvet, Margaux",Calvet,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,,,,,,,Red,Table,12.5,17~19,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2004,750
14,137212,"Calvet, Medoc",Calvet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,32000,2015,750
15,137214,"Calvet, Saint Emilion",Calvet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN2,42000,2010,750
16,137217,Tavernello Rosato Frizzante,Caviro scaForli,Italy,EmiliaRomagna,,,,Lambrusco,,,,,,,,,,,,Rose,Table,11,10~12,SWEET3,ACIDITY2,BODY3,TANNIN1,9000,0,750
17,137218,Tavernello Bianco Fizzante,Caviro scaForli,Italy,EmiliaRomagna,,,,Etc,,,,,,,,,,,,White,Table,11,10~12,SWEET3,ACIDITY2,BODY3,TANNIN1,9000,0,750
18,137222,La Carillon de l'Angelus,Chateau Angelus 1st Grand Cru ClasseA,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,250000,2017,750
19,137224,Chateau Brillette,Chateau Brillette,France,Bordeaux,Moulis,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,85000,2013,750
20,137225,Le Bailly de Camensac,Chateau Camensac Grand Cru Classe5th Cru,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,50000,2006,750
21,137226,L'oratoire de Chasse Spleen,Chateau Chasse Spleen,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,12.5~13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,50000,2017,750
22,137230,Chateau de Seguin Cuvee Prestige,Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,0,2010,750
23,137231,Chateau de Seguin,Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2010,750
24,137232,Chateau Durfort Vivens,Chateau DurfortVivens Grand Cru Classe2nd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,140000,2017,750
25,137235,La sirene de Giscours,Chateau Giscours Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,80000,2016,750
26,137237,Chateau Haut Bages Averous,Chateau Lynch Bages Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,120000,2015,750
27,137238,La Chapelle de Bages,Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN4,90000,2006,750
28,137241,Chateau Bahans Haut Brion,Chateau HautBrion 1st Grand Cru Classe,France,Bordeaux,PessacLeognan,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN5,270000,2006,750
29,137242,Chateau La Gurgue,Chateau La Gurgue,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,130000,2009,750
30,137248,Le Petit Mouton de Mouton Rothschild,Chateau Mouton Rothschild 1st Grand Cru Classe,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,570000,2015,750
31,137254,Chateau Tour de Loudenne,Chateau Tour de Loudenne,France,Bordeaux,Medoc,,,,,,,,,,,,,,,,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2002,750
32,137255,Chateau Tour de Saint Bonnet,Chateau Tour de Saint Bonnet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,45000,2006,750
33,137257,"Concha y Toro, Carmin de Peumo",Concha y Toro,Chile,Rapel Valley,Cachapoal Valley,Peumo,,Carmenere,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,450000,2013,750
34,137258,"Concha y Toro, Frontera Cabernet Sauvignon",Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,11~12,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2018,750
35,137259,"Concha y Toro, Frontera Carmenere",Concha y Toro,Chile,Central Valley,,,,Carmenere,Cabernet Sauvignon,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750
36,137260,"Concha y Toro, Sunrise Cabernet Sauvignon",Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2017,750
37,137261,"Concha y Toro, Sunrise Carmenere",Concha y Toro,Chile,Central Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2018,750
38,137266,"Concha y Toro, Terrunyo Cabernet Sauvignon",Concha y Toro,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,Cabernet Franc,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,100000,2015,750
39,137267,"Concha y Toro, Terrunyo Carmenere",Concha y Toro,Chile,Rapel Valley,,,,Carmenere,Cabernet Sauvignon,Petit Verdot,Cabernet Franc,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,100000,2017,750
40,137268,"Carlo Rossi, Concord",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Concord,,,,,,,,,,,,Red,Dessert,11,10~12,SWEET4,ACIDITY1,BODY2,TANNIN1,15000,0,750
41,137269,"Carlo Rossi, California Red",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Red,Table,12.5~13.5,14~16,SWEET2,ACIDITY2,BODY2,TANNIN2,0,0,750
42,137272,"Carlo Rossi, Red Muscat",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Red,Dessert,9.5,10~12,SWEET3,ACIDITY1,BODY2,TANNIN1,15000,0,1500
43,137275,"Carlo Rossi, Califonia, White",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,White,"Table, Dessert",12.5~13.5,8~10,SWEET3,ACIDITY2,BODY2,TANNIN1,9900,0,750
44,137277,Coastal Vineyard Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2003,750
45,137278,Coastal Vineyard Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,13,10~12,SWEET1,ACIDITY3,BODY2,TANNIN1,0,2003,750
46,137279,"Gallo Family, Frei Ranch Cabernet Sauvignon",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2003,750
47,137280,Sierra Valley Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sierra Foothills,,,Chardonnay,,,,,,,,,,,,White,Table,12.5,10~12,SWEET1,ACIDITY3,BODY2,TANNIN1,0,2005,750
48,137281,RedWood Creek Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2005,750
49,137282,RedWood Creek Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,12.5,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2005,750
50,137283,RedWood Creek Merlot,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2005,750
51,137284,Sheffield Tawny port,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Fortified,Dessert,18,6~8,SWEET5,ACIDITY2,BODY5,TANNIN3,0,0,750
52,137285,Sycamore Canyon Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2005,750
53,137287,Sycamore Canyon Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,14,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2005,750
54,137288,Tott's Brut,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Sparkling,Appetizer,11~12,7~9,SWEET2,ACIDITY3,BODY2,TANNIN1,0,0,750
55,137289,Turning Leaf Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17~19,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2009,750
56,137290,Turning Leaf Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,13.5,10~12,SWEET1,ACIDITY2,BODY2,TANNIN1,0,2006,750
57,137291,Turning Leaf White Zinfandel,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Zinfandel,,,,,,,,,,,,Rose,"Appetizer, Table",9,10~12,SWEET2,ACIDITY2,BODY2,TANNIN1,0,2011,750
58,137293,Wild Vine Blueberry Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,6~7,13~15,SWEET3,ACIDITY2,BODY3,TANNIN2,0,0,750
59,137294,Sierra Valley Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sierra Foothills,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2005,750
60,137295,"Frei Brothers, Cabernet Sauvignon",Frei Brothers,USA,California,Sonoma County,Alexander Valley,,Cabernet Sauvignon,Petite Sirah,Merlot,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,55000,2018,750
61,137296,"Frei Brothers, Chardonnay ",Frei Brothers,USA,California,Sonoma County,Russian River Valley,,Chardonnay,,,,,,,,,,,,White,"Appetizer, Table",13~14,10~12,SWEET1,ACIDITY4,BODY2,TANNIN1,55000,2018,750
62,137297,"Frei Brothers, Pinot Noir",Frei Brothers,USA,California,Sonoma County,Russian River Valley,,Pinot Noir,,,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,59000,2018,750
63,137298,"Gallo Family, Sonoma Cabernet Sauvignon",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,70000,2005,750
64,137299,Sonoma Chardonnay,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Chardonnay,,,,,,,,,,,,White,Table,13.7,9~11,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2003,750
65,137300,"Gallo Family, Sonoma Merlot",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Merlot,Cabernet Sauvignon,Etc,,,,,,,,,,Red,Table,13.9,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,70000,2007,750
66,137301,"Gallo Family, Sonoma Pinot Noir",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Pinot Noir,Zinfandel,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,70000,2006,750
67,137302,Sonoma Zinfandel,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Zinfandel,Syrah & Shiraz,Petite Sirah,,,,,,,,,,Red,Table,13~14,16~18,SWEET2,ACIDITY2,BODY5,TANNIN3,0,2004,750
68,137303,Stefani Vineyard Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,1999,750
69,137305,Ginestet Bordeaux de Ginestet Red,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,22500,2006,750
70,137306,Ginestet Bordeaux Reserve Red,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,32000,2008,750
71,137307,Ginestet Bordeaux Blanc,Maison Ginestet,France,Bordeaux,,,,Semillon,Sauvignon blanc,,,,,,,,,,,White,Table,12,10~12,SWEET1,ACIDITY4,BODY2,TANNIN1,24000,2010,750
72,137309,Mascaron Bordeaux Blanc,Maison Ginestet,France,Bordeaux,,,,Semillon,Sauvignon blanc,,,,,,,,,,,White,Table,12.5,10~12,SWEET1,ACIDITY3,BODY2,TANNIN1,36000,2008,750
73,137310,Mascaron Bordeaux rouge,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,36000,2007,750
74,137311,Reference,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2000,750
75,137312,Ginestet Margaux,Maison Ginestet,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2004,750
76,137314,Ginestet Medoc,Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,34000,2007,750
77,137315,Henri Medoc,Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2005,750
78,137316,Mascaron Medoc,Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,45000,2008,750
79,137317,"Noble, Medoc",Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,12~13,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,26000,2017,750
80,137318,Chateau Haut Bages Liberal,Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,98000,2017,750
81,137319,Ginestet Saint Emilion,Maison Ginestet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2008,750
82,137320,Mascaron Puisseguin Saint Emilion,Maison Ginestet,France,Bordeaux,PuisseguinSaintEmilion,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2009,750
83,137321,"Ginestet, Saint Estephe",Maison Ginestet,France,Bordeaux,Saint Estephe,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2004,750
84,137322,Ginestet Sauternes,Maison Ginestet,France,Bordeaux,Sauternes,,,Semillon,Sauvignon blanc,Muscadet,,,,,,,,,,White,Dessert,13.5,6~7,SWEET5,ACIDITY3,BODY2,TANNIN1,62000,2010,750
85,137323,"Ginestet, Selection Cabernet Sauvignon",Maison Ginestet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,11.5,16~18,SWEET1,ACIDITY4,BODY2,TANNIN3,17000,2010,750
86,137324,Ginestet Selection Merlot,Maison Ginestet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,,,,,,,Red,Table,11.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,17000,2010,750
87,137325,Henri Lavigne,Henri Lavigne,France,Ugni blanc,,,,,,,,,,,,,,,,Sparkling,Appetizer,10.5,6~8,SWEET2,ACIDITY3,BODY3,TANNIN1,14000,0,750
88,137326,"Jean Berteau, Chateauneuf du Pape Domaine du Grand Coulet",Jean Berteau,France,Rhone,ChateauneufduPape,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2005,750
89,137327,"Jean Berteau, Cotes du Rhone Cuvee Prestige Red",Jean Berteau,France,Rhone,Cotes du Rhone,,,Syrah & Shiraz,Grenache,mourvedre,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2006,750
90,137328,"Jean Berteau, Cotes du Rhone Cuvee Prestige White",Jean Berteau,France,Rhone,Cotes du Rhone,,,Viognier,Grenache Blanc,Rousaanne,Marsanne,,,,,,,,,White,Table,13,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2006,750
91,137329,Jean Berteau Excellence,Jean Berteau,France,Rhone,Cotes du Rhone,,,Syrah & Shiraz,Grenache,mourvedre,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2005,750
92,137330,"Jean Luc Colombo, Chateauneuf du Pape 'Les Bartavelles'",Jean Luc Colombo,France,Rhone,ChateauneufduPape,,,Syrah & Shiraz,Grenache,mourvedre,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,190000,2011,750
93,137331,"Jean Luc Colombo, Cornas 'Les Ruchets'",Jean Luc Colombo,France,Rhone,Cornas,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,16~19,SWEET1,ACIDITY4,BODY4,TANNIN4,260000,2009,750
94,137332,Cote Rotie La Divine,Jean Luc Colombo,France,Rhone,,,,Syrah & Shiraz,Viognier,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,0,2004,750
95,137333,Jean Luc Colombo Cotes du Rhone  'Les Abeilles' Rouge,Jean Luc Colombo,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,39000,2013,750
96,137334,Jean Luc Colombo Cotes du Rhone 'Les Abeilles' Blanc,Jean Luc Colombo,France,Rhone,Cotes du Rhone,,,Clairette,Rousaanne,,,,,,,,,,,White,Table,13,10~12,SWEET1,ACIDITY3,BODY4,TANNIN1,39000,2014,750
97,137335,"Jean Luc Colombo, Crozes Hermitage  Les Gravieres",Jean Luc Colombo,France,Rhone,CrozesHermitage,,,Marsanne,Rousaanne,,,,,,,,,,,White,Table,13,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2005,750
98,137336,"Jean Luc Colombo, Crozes Hermitage  La Tuiliere",Jean Luc Colombo,France,Rhone,CrozesHermitage,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2004,750
99,137337,"Jean Luc Colombo, Hermitage Le Rouet",Jean Luc Colombo,France,Rhone,Hermitage,,,Syrah & Shiraz,Marsanne,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,0,2004,750
100,137338,"Jean Luc Colombo, Collines Rhodaniennes 'Les Collines de Laure'",Jean Luc Colombo,France,Rhone,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,40000,2018,750
101,137339,"Jean Luc Colombo, Saint Joseph Red Le Prieure",Jean Luc Colombo,France,Rhone,SaintJoseph,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2004,750
102,137340,"Jean Moreau & Fils, Chablis",Jean Moreau  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,,,,,,,White,"Appetizer, Table",12.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,50000,2006,750
103,137341,"Jean Moreau & Fils, Chablis Grand Cru 'Valmur'",Jean Moreau  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,,,,,,,White,Table,13,10~12,SWEET1,ACIDITY5,BODY3,TANNIN1,150000,2017,750
104,137342,"Jean Moreau & Fils, Chablis 1er Cru 'Montmains'",Jean Moreau  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,,,,,,,White,Table,13,10~12,SWEET1,ACIDITY5,BODY3,TANNIN1,90000,2017,750
105,137343,"Jean Moreau & Fils, Sancerre",Jean Moreau  Fils,France,Loire,Central Loire,Sancerre,,Sauvignon blanc,,,,,,,,,,,,White,"Appetizer, Table",12.5,9~11,SWEET1,ACIDITY5,BODY2,TANNIN1,57000,2004,750
106,137344,Jordan Cabernet Sauvignon,Jordan Vineyard  Winery,USA,California,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.8,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,180000,2012,750
107,137345,Jordan Chardonnay,Jordan Vineyard  Winery,USA,California,Sonoma County,Russian River Valley,,Chardonnay,,,,,,,,,,,,White,Table,13.7,10~12,SWEET1,ACIDITY3,BODY4,TANNIN1,130000,2014,750
108,137346,"Blue Nun, Cabernet Sauvignon",Langguth  Blue nun,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Dessert,13~14,16~18,SWEET3,ACIDITY2,BODY3,TANNIN2,19000,2017,750
109,137347,"Blue Nun, Dornfelder ",Langguth  Blue nun,Germany,Pfalz,,,,Dornfelder,,,,,,,,,,,,Red,Table,8~9,12~14,SWEET3,ACIDITY4,BODY3,TANNIN4,22000,2017,750
110,137348,"Blue Nun, Eiswein Riesling",Langguth  Blue nun,Germany,Rheinhessen,,,,Riesling,,,,,,,,,,,,White,Dessert,10,7~8,SWEET5,ACIDITY2,BODY3,TANNIN1,120000,2005,500
